x,greenLed,InfraredLed
1524836559293,10735,3377820
1524836559294,10723,3377836
1524836559308,10743,3377802
1524836559323,10725,3377809
1524836559324,10743,3377800
1524836559338,10729,3377828
1524836559353,10721,3377776
1524836559354,10743,3377791
1524836559368,10764,3377800
1524836559383,10746,3377815
1524836559385,10754,3377796
1524836559398,10759,3377762
1524836559413,10744,3377744
1524836559414,10742,3377762
1524836559428,10757,3377807
1524836559458,10825,3377778
1524836559459,10795,3377760
1524836559459,10782,3377772
1524836559460,10763,3377806
1524836559473,10795,3377773
1524836559488,10786,3377744
1524836559518,10784,3377699
1524836559519,10757,3377627
1524836559519,10783,3377571
1524836559520,10761,3377522
1524836559548,10769,3377503
1524836559549,10754,3377417
1524836559563,10751,3377450
1524836559564,10769,3377379
1524836559578,10780,3377399
1524836559608,10773,3377336
1524836559609,10760,3377376
1524836559610,10789,3377335
1524836559611,10773,3377337
1524836559623,10765,3377329
1524836559638,10807,3377338
1524836559653,10784,3377396
1524836559654,10773,3377398
